timestamp,step,turn,status,board,action
14:44:27.945495,5,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, 0, 1, -1, 1, 0, 0, 0], [0, 1, 0, -1, 1, 1, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",
14:44:27.948752,5,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, 0, 1, -1, 1, 0, 0, 0], [0, 1, 0, -1, 1, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]","[2, 7]"
14:44:30.100541,6,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, 0, -1, -1, 1, 0, 0, 0], [0, 1, -1, -1, 1, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]","[5, 2]"
14:44:30.102555,6,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, 0, -1, -1, 1, 0, 0, 0], [0, 1, -1, -1, 1, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]",
14:44:30.107529,6,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [0, 1, 0, -1, 0, 0, 0, 0], [0, 0, 1, -1, -1, 0, 0, 0], [0, 0, -1, 1, 1, 0, 0, 0], [0, 1, -1, -1, 1, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]","[1, 2]"
14:44:32.350927,7,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [0, 1, 0, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, -1, -1, 1, 1, 0, 0, 0], [0, 1, -1, -1, 1, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]","[4, 1]"
14:44:32.350927,7,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [0, 1, 0, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, -1, -1, 1, 1, 0, 0, 0], [0, 1, -1, -1, 1, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]",
14:44:32.350927,7,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [0, 1, 0, -1, 0, 0, 0, 0], [0, 1, -1, -1, -1, 0, 0, 0], [0, 1, -1, 1, 1, 0, 0, 0], [0, 1, -1, -1, 1, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]","[1, 3]"
14:44:34.600619,8,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [0, -1, 0, -1, 0, 0, 0, 0], [-1, -1, -1, -1, -1, 0, 0, 0], [0, -1, -1, 1, 1, 0, 0, 0], [0, 1, -1, -1, 1, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]","[3, 0]"
14:44:34.606215,8,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [0, -1, 0, -1, 0, 0, 0, 0], [-1, -1, -1, -1, -1, 0, 0, 0], [0, -1, -1, 1, 1, 0, 0, 0], [0, 1, -1, -1, 1, 1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]",
14:44:34.606215,8,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [0, -1, 0, -1, 0, 0, 0, 0], [-1, -1, -1, -1, -1, 0, 0, 0], [0, -1, -1, 1, 1, 0, 0, 0], [0, 1, -1, 1, 1, 1, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]","[2, 6]"
14:44:35.758476,9,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [0, -1, 0, -1, 0, 0, 0, 0], [-1, -1, -1, -1, -1, 0, 0, 0], [0, -1, -1, -1, -1, -1, 0, 0], [0, 1, -1, 1, 1, 1, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]","[4, 5]"
14:44:35.762578,9,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [0, -1, 0, -1, 0, 0, 0, 0], [-1, -1, -1, -1, -1, 0, 0, 0], [0, -1, -1, -1, -1, -1, 0, 0], [0, 1, -1, 1, 1, 1, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]",
14:44:35.762578,9,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, -1, 0, -1, 0, 0, 0, 0], [-1, 1, -1, -1, -1, 0, 0, 0], [0, -1, 1, -1, -1, -1, 0, 0], [0, 1, -1, 1, 1, 1, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]","[0, 2]"
14:44:37.976581,10,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, -1, 0, -1, 0, 0, 0, 0], [-1, 1, -1, -1, -1, 0, 0, 0], [0, -1, 1, -1, -1, -1, 0, 0], [0, 1, -1, 1, -1, 1, 0, 0], [0, 0, 1, 1, -1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]","[6, 4]"
14:44:37.984875,10,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, -1, 0, -1, 0, 0, 0, 0], [-1, 1, -1, -1, -1, 0, 0, 0], [0, -1, 1, -1, -1, -1, 0, 0], [0, 1, -1, 1, -1, 1, 0, 0], [0, 0, 1, 1, -1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]",
14:44:37.984875,10,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, -1, 0, -1, 0, 0, 0, 0], [-1, 1, -1, -1, -1, 0, 0, 0], [0, -1, 1, -1, -1, -1, 0, 0], [0, 1, -1, 1, -1, 1, 0, 0], [0, 0, 1, 1, 1, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0]]","[5, 6]"
14:44:39.210747,11,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, -1, 0, -1, 0, 0, 0, 0], [-1, 1, -1, -1, -1, 0, 0, 0], [0, -1, 1, -1, -1, -1, 0, 0], [0, 1, -1, 1, -1, -1, 0, 0], [0, 0, 1, 1, 1, -1, 0, 0], [0, 0, 1, 0, 0, -1, 0, 0]]","[7, 5]"
14:44:39.214184,11,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, -1, 0, -1, 0, 0, 0, 0], [-1, 1, -1, -1, -1, 0, 0, 0], [0, -1, 1, -1, -1, -1, 0, 0], [0, 1, -1, 1, -1, -1, 0, 0], [0, 0, 1, 1, 1, -1, 0, 0], [0, 0, 1, 0, 0, -1, 0, 0]]",
14:44:39.218221,11,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, -1, 0, -1, 0, 0, 0, 0], [-1, 1, -1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 1, 1, 1, 0], [0, 1, -1, 1, -1, 1, 0, 0], [0, 0, 1, 1, 1, -1, 0, 0], [0, 0, 1, 0, 0, -1, 0, 0]]","[6, 4]"
14:44:41.359100,12,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, -1, 0, -1, 0, 0, 0, 0], [-1, 1, -1, -1, -1, 0, 0, 0], [0, -1, 1, -1, 1, 1, 1, 0], [0, 1, -1, -1, -1, 1, 0, 0], [0, 0, 1, -1, 1, -1, 0, 0], [0, 0, 1, -1, 0, -1, 0, 0]]","[7, 3]"
